TimeStamp, BettingHouse,League_Tournament, EventID, EventName, EventScore, EventTime, EventPeriod, OddsLocal, OddsDraw, OddsVisitor
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Mexico - Segunda Division,252809149,Inter de Queretaro FC - Cafetaleros de Chiapas,0-1,45:18,Segunda Mitad,21.00,6.00,1.125
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Mexico - Segunda Division,253019023,Atletico Saltillo - Correcaminos II,1-0,45:01,1ª Mitad,1.30,4.20,10.00
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Mexico - Segunda Division,253019086,Sporting Canamy - Canoneros Marina,0-0,19:32,1ª Mitad,1.85,3.25,3.90
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Panama - Liga Prom,252671898,Arabe Unido (R) - Plaza Amador (R),1-0,60:19,Segunda Mitad,1.30,3.75,12.00
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Panama - Liga Prom,252801723,Panama City FC - CD Centenario,0-0,60:15,Segunda Mitad,3.10,1.95,3.55
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Panama - Liga Prom,252519110,Alianza FC (R) - Colón C-3 FC,0-0,20:35,1ª Mitad,1.48,3.55,6.50
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Peru - Segunda Division,253238924,Union Comercio - FC Carlos Stein,0-0,48:50,1ª Mitad,2.70,2.30,3.10
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Guatemala - Primera Division,253906959,Aurora - Deportivo Agua Blanca,1-0,63:58,Segunda Mitad,1.125,5.25,29.00
Sat Oct 09 17:21:32 -0500 2021,WPlay,Américas - Guatemala - Primera Division,253908009,Deportivo Mixco - Juventud Pinulteca,1-0,46:37,1ª Mitad,1.35,3.70,9.00
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Colombia - Primera A,251820500,Deportivo Cali - La Equidad,1-2,67:41,Segunda Mitad,12.00,3.45,1.444
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Colombia - Primera B,252354503,Union Magdalena - Atletico de Cali,3-3,92:11,Segunda Mitad,12.00,1.062,17.00
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Argentina - Liga Profesional de Fútbol,251905019,Banfield - River Plate,0-1,70:23,Segunda Mitad,21.00,4.333,1.25
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Brasil - Serie A,249192932,Fortaleza CE - Flamengo RJ,0-0,25:48,1ª Mitad,3.40,2.70,2.45
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Brasil - Serie A,250759052,Atletico PR - Bahia BA,0-0,26:40,1ª Mitad,1.90,2.90,5.00
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Chile - Primera División,250220655,Antofagasta - Melipilla,0-0,64:45,Segunda Mitad,2.75,1.90,5.00
Sat Oct 09 17:27:45 -0500 2021,WPlay,Fútbol Mujeres - Mexico - Liga MX Femenil,250541801,Toluca (W) - Santos Laguna (W),1-0,68:52,Segunda Mitad,1.42,3.45,11.00
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Brasil - Serie B,251907233,EC Vitória - Confianca SE,0-1,25:48,1ª Mitad,4.20,3.10,1.95
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - EE.UU - MLS,249590590,New York Red Bulls - Inter Miami CF,0-0,18:31,1ª Mitad,1.50,3.75,7.00
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Uruguay - Primera División,252626204,Montevideo Wanderers - Torque,1-1,81:08,Segunda Mitad,5.25,1.40,5.50
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Venezuela - Primera División,251757086,Carabobo FC - Yaracuyanos FC,0-0,9:01,1ª Mitad,2.20,2.95,3.30
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Brasil - Serie C,253234909,Novorizontino SP - Ypiranga RS,0-0,25:46,1ª Mitad,2.25,2.55,3.80
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Brazil - Serie D,,America RN - Campinense PB,0-0,93:35,Segunda Mitad,2.25,2.55,3.80
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Chile - Primera B,253007796,CD Arturo Fernandez Vial - CSD Rangers,1-2,63:31,Segunda Mitad,6.00,2.85,1.727
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Colombia - Liga Antioqueña de Fútbol,253936604,Rionegros Aguilas(R) - La Chalaca,3-1,58:32,Segunda Mitad,6.00,2.85,1.727
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - El Salvador - Primera Division,252777395,Municipal Limeno - Once Deportivo,0-0,68:46,Segunda Mitad,2.65,1.769,6.25
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - El Salvador - Primera Division,252777368,CD Platense Zacatecoluca - Luis Ángel Firpo,1-0,45:00,1ª Mitad,1.40,3.60,9.50
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Guatemala - Liga Nacional,252357357,Csd Municipal - FC Santa Lucia Cotzumalguapa,0-1,60:49,Segunda Mitad,10.00,3.55,1.40
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Honduras - Liga Nacional,253552535,CD Marathon - Honduras Progreso,1-1,62:43,Segunda Mitad,2.00,2.15,6.50
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Panama - Liga Panamena,251563544,Sporting San Miguelito - San Francisco FC,1-1,68:07,Segunda Mitad,3.95,1.727,3.95
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Mexico - Segunda Division,252809149,Inter de Queretaro FC - Cafetaleros de Chiapas,0-1,51:27,Segunda Mitad,17.00,5.50,1.166
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Mexico - Segunda Division,253019023,Atletico Saltillo - Correcaminos II,1-0,45:00,1ª Mitad,1.285,4.333,11.00
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Mexico - Segunda Division,253019086,Sporting Canamy - Canoneros Marina,0-0,25:41,1ª Mitad,2.00,3.10,3.60
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Panama - Liga Prom,252671898,Arabe Unido (R) - Plaza Amador (R),1-0,66:28,Segunda Mitad,1.25,3.90,15.00
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Panama - Liga Prom,252801723,Panama City FC - CD Centenario,0-0,66:24,Segunda Mitad,3.35,1.80,3.85
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Panama - Liga Prom,252519110,Alianza FC (R) - Colón C-3 FC,0-0,26:44,1ª Mitad,1.40,3.60,8.00
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Peru - Segunda Division,253238924,Union Comercio - FC Carlos Stein,0-0,45:00,1ª Mitad,2.70,2.30,3.10
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Guatemala - Primera Division,253906959,Aurora - Deportivo Agua Blanca,2-0,70:07,Segunda Mitad,1.071,6.00,46.00
Sat Oct 09 17:27:45 -0500 2021,WPlay,Américas - Guatemala - Primera Division,253908009,Deportivo Mixco - Juventud Pinulteca,1-0,45:00,1ª Mitad,1.35,3.70,9.00
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Colombia - Primera A,251820500,Deportivo Cali - La Equidad,1-2,69:43,Segunda Mitad,7.50,2.95,1.666
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Colombia - Primera B,,Union Magdalena - Atletico de Cali,3-3,94:13,Segunda Mitad,7.50,2.95,1.666
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Argentina - Liga Profesional de Fútbol,251905019,Banfield - River Plate,0-1,72:25,Segunda Mitad,21.00,4.333,1.25
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Brasil - Serie A,249192932,Fortaleza CE - Flamengo RJ,0-0,27:50,1ª Mitad,3.40,2.70,2.45
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Brasil - Serie A,250759052,Atletico PR - Bahia BA,0-0,28:42,1ª Mitad,2.05,2.70,4.50
Sat Oct 09 17:28:54 -0500 2021,WPlay,Américas - Chile - Primera División,250220655,Antofagasta - Melipilla,0-0,66:47,Segunda Mitad,2.80,1.833,5.25
Sat Oct 09 17:28:54 -0500 2021,WPlay,Fútbol Mujeres - Mexico - Liga MX Femenil,250541801,Toluca (W) - Santos Laguna (W),1-0,70:54,Segunda Mitad,1.40,3.45,11.00
